src_idx,tgt_idx,weight
72,52,540.07819
36,10,739.35347
37,36,89105.00183000005
24,43,13055.600859999984
42,11,135.8576
36,37,77810.7606699998
36,36,411817.5369300018
41,71,2310.6138099999994
9,16,67.4029
54,72,1668.8140300000002
72,36,53966.99510999994
10,70,2406.311940000001
72,37,20125.02748000002
36,71,12598.378300000004
16,33,22.7144
44,42,2921.401230000001
41,22,417.97869
9,70,177.7798
71,36,13142.383300000003
36,21,104.99422
70,43,48.6412
62,65,388.09114000000005
61,44,1146.3014
17,31,6206.972779999999
21,36,136.12211
42,44,4172.662569999999
73,57,1217.8114999999998
57,70,1302.74415
24,61,897.35892
62,69,18772.039599999967
70,57,1169.2128399999997
37,24,8436.153019999996
44,61,1146.7923199999998
65,69,3060.2526
69,69,248080.58570199797
72,54,571.98819
57,57,219747.33655999848
5,69,66.6451
35,41,2656.8525200000017
69,65,3240.451300000001
61,24,2105.33804
42,33,41.7123
24,37,10806.137249999998
44,71,1001.60453
43,33,55.5302
44,37,3027.6376999999993
37,70,2850.0550500000018
24,71,4613.79062
70,36,5750.651880000003
25,19,50.9464
65,62,103.60978
61,72,3891.3306699999994
72,61,5684.961889999999
36,72,60445.60452999999
43,31,2172.0312299999996
44,43,419.56759999999997
69,62,2724.4814400000005
43,44,773.1182
72,43,5935.107260000001
71,24,7036.061960000003
40,41,7374.085629999994
31,17,2702.754499999999
42,61,420.43944999999997
33,43,38.000530000000005
70,37,12418.023059999992
31,42,235.2608
15,44,115.0808
24,36,5549.0318899999975
70,17,50.7615
41,40,24036.783160000028
32,17,1219.5794300000002
37,44,3516.0911600000018
41,35,994.5098100000001
36,70,2387.045159999999
41,2,1728.7187800000006
42,31,562.5183800000001
70,39,9156.42717999999
40,2,4545.132950000003
2,40,3018.516650000002
17,32,1320.84566
39,39,1178713.2438460162
39,70,7412.37756999999
36,39,42978.05109999998
37,39,26523.69643999998
2,41,735.4875000000002
73,36,6651.447030000003
10,39,681.64809
2,2,50593.279269999985
41,72,2447.0810799999995
36,73,1600.43778
73,39,3696.044460000001
36,24,3145.62801
39,73,525.9753699999998
39,36,35051.499260000084
43,72,6400.508189999994
39,37,43526.016589999905
35,12,120.23020000000001
57,73,1012.0679899999999
11,37,2150.70584
37,11,194.43693
71,69,398.84650999999997
21,39,337.0526
11,39,710.0775699999999
71,39,8681.33427
72,39,17634.40509
72,41,3444.0083
44,36,1033.31035
36,44,771.5789700000001
37,73,127.00375
35,1,21767.492200000026
1,35,4681.862419999996
62,12,1961.8901900000005
73,37,486.61021
37,43,1020.6260899999997
40,35,95.23139
1,1,986569.631159999
54,27,6326.162289999999
69,71,468.73607000000004
25,12,306.96811999999994
56,9,45.0786
41,1,7790.998620000003
17,70,57.6393
39,71,8305.459709999997
35,40,94.48015
27,27,90874.90091500018
39,72,11685.582310000016
41,27,3485.5952999999968
39,10,472.69540000000006
11,36,526.2268
69,5,22.8994
43,37,886.14647
40,3,3478.9576200000006
72,3,2113.9877699999997
27,54,888.9100700000002
27,41,4311.06851
71,1,3409.578540000001
27,0,1114.7005400000003
3,3,56422.90024999986
0,27,816.46569
1,72,6038.339199999999
42,37,9147.011440000004
3,72,1280.5737499999993
3,40,4410.736340000003
1,41,9190.36213
1,71,5237.402820000003
70,8,231.13773
72,2,1138.5627499999998
52,25,31.1144
24,15,34.1719
27,72,939.65048
2,72,2649.9306100000003
72,27,491.7729
42,71,9152.140259999998
71,42,6343.591279999996
72,69,2046.2525700000003
8,70,90.70118
69,72,2034.4964900000002
27,71,151.32602
37,42,7714.477420000006
12,25,195.92691000000002
16,30,6122.972170000001
12,62,746.1598999999999
30,30,688933.4161609962
71,30,2884.624079999999
30,16,2051.3503000000005
49,70,1168.5234500000001
61,42,58.09446
25,52,55.8969
0,18,765.0158100000002
30,71,3383.8105799999994
8,30,4816.17836
40,1,818.4218400000001
19,25,77.7491
72,47,21983.122279999963
1,40,6396.19161
18,72,636.0856600000001
18,25,398.1188
47,72,15198.337050000006
47,16,1664.3223999999998
18,18,50714.34953900006
12,47,12941.742589999996
47,47,254212.70160699895
72,18,654.46272
18,40,1936.5354500000008
18,0,56.73983
15,24,52.6208
40,25,272.14003999999994
47,12,10342.064290000002
30,8,1381.68035
30,31,8157.019620000001
71,27,87.17395000000002
73,18,751.4621000000001
25,18,311.9675
17,30,8447.473109999999
27,18,4528.20688
70,49,784.1215000000001
31,30,5368.41812
61,43,1284.90405
2,3,362.66239999999993
72,1,4248.239049999999
71,43,2171.0209700000005
27,40,303.73110999999994
72,28,5006.817979999998
12,28,5982.420269999998
43,71,1557.6029900000005
18,27,711.93893
28,12,2358.00374
32,30,61.31569999999999
71,18,37.653
12,35,92.2371
69,19,1767.8701800000008
30,17,2174.4755299999997
24,39,1324.0916
18,73,315.16339999999997
35,23,2044.8056600000002
62,23,14094.782310000024
19,69,1580.1705800000002
23,23,200617.28006300025
23,35,1219.9286900000002
23,62,2088.8603399999997
28,28,62335.205347999865
31,25,29.5083
40,27,86.16071000000001
40,18,1525.4722400000003
39,24,1424.5240299999998
30,32,149.11703
39,11,235.0115
57,49,2153.6422500000003
25,40,184.80387000000002
31,43,4537.38995
16,47,2304.2287299999994
72,30,13224.502729999993
32,25,76.2915
49,12,3843.552090000001
1,12,1677.3352999999997
1,14,11864.973619999992
48,72,5237.915789999997
8,26,3412.2547799999998
47,71,648.54162
14,1,11682.472600000003
72,23,1343.2460400000007
26,30,28615.577540000035
72,26,11359.428180000008
26,26,234117.5257919988
30,26,29876.310020000048
12,48,3629.2167900000004
72,48,8041.57256
72,20,11286.68682999999
71,23,96.59271999999999
48,48,88746.78460000023
19,73,27.3916
3,2,175.91570000000002
14,14,63673.11358000033
16,48,773.7957600000001
20,20,246654.31894900123
20,72,8800.940089999996
20,59,2210.968319999999
26,31,5546.7188099999985
26,8,624.08786
31,26,4819.111650000003
30,72,16632.897239999995
25,67,135.77007
26,72,11209.765089999994
40,73,101.55787000000001
70,28,1016.9966000000001
28,70,267.99672
40,67,7762.32996
67,25,169.29549
23,12,847.3938200000002
28,72,3708.3127400000017
17,26,1488.7888199999998
19,20,810.81101
73,40,206.66834
18,67,5376.549659999997
67,40,8581.551549999995
23,72,1799.3437399999998
73,48,94.4163
44,39,2464.46515
43,61,651.7429399999999
67,67,157927.05432299955
39,44,2711.9409200000005
67,72,35.2201
67,18,1181.7817200000002
29,25,155.4758
40,29,281.43663000000004
19,28,277.3275
42,72,12910.704980000015
25,29,168.28847000000002
71,47,354.76694
29,40,251.20633999999998
72,42,11223.437270000006
48,16,530.42632
41,14,650.93977
42,36,1235.6355299999996
14,41,720.85092
73,67,125.9454
67,29,228.2861
12,40,7766.333079999996
59,20,3351.8337500000016
12,41,580.2863000000001
70,40,527.76683
12,23,858.0833
23,69,1830.3323400000002
40,4,26234.92658000003
69,12,249.75420000000003
4,40,19965.507289999965
41,12,506.86879000000005
2,4,328.47353999999996
69,1,10763.87185
4,4,598107.797549996
4,2,33.50739
67,73,58.6296
12,69,224.9304
1,19,528.9640199999999
12,1,1576.8932100000004
72,67,47.0355
70,48,494.29915
1,23,2797.418809999998
69,23,6549.066619999998
40,12,9581.864969999991
19,1,936.0177799999998
1,69,1237.73972
23,71,40.9674
23,1,17536.920439999987
48,47,1464.6940799999998
4,72,15129.344500000005
72,4,13580.928890000001
40,70,294.55795
28,19,89.0098
71,44,825.6868599999999
3,4,817.43086
61,30,186.50396999999998
41,4,2818.050010000001
29,67,44.0422
20,19,87.7466
44,73,53.7637
43,36,68.3708
30,61,557.8609200000001
36,42,614.19301
47,48,2004.7495599999997
71,14,61.0947
28,73,74.8501
67,12,2611.4818700000005
41,18,2009.8218799999997
48,70,104.634
12,67,689.1729
4,41,383.8656
1,52,1051.0079100000003
36,43,29.5551
73,28,93.11838
72,14,6339.933489999997
49,57,2615.096429999999
52,20,55.12627
52,1,852.5984199999999
48,12,1538.52654
29,57,168.7181
20,70,202.1204
4,3,9.68806
14,72,3765.8322799999974
36,11,36.3537
1,20,5851.858799999999
61,71,2045.769609999999
31,34,5648.196580000004
49,16,77.0934
41,53,3412.0276899999985
40,53,19868.691589999995
57,72,1411.5742
34,34,380021.0102559996
57,29,119.4624
69,28,119.68860000000001
28,20,944.3249999999999
71,61,834.1847299999997
12,14,5469.590780000001
53,40,16509.812849999995
32,34,107.7552
34,31,2953.4609000000005
34,17,80.66284999999999
1,59,1330.6909
53,53,1550742.6059550275
17,34,455.5583
70,20,344.2387
23,14,732.6352200000001
69,14,97.18629999999999
72,57,1010.6798400000002
20,25,28.5729
53,41,824.37539
14,12,3100.0148000000004
18,41,161.7638
20,28,1084.92484
26,34,29965.118279999995
73,20,75.77031000000001
18,12,110.037
14,23,74.74963
20,14,8113.910590000009
29,48,1342.13278
29,8,89.7437
59,1,99.71068
34,26,29190.75127000002
20,1,881.84955
20,73,50.4072
41,67,413.68727
47,50,9619.64824000001
50,50,367899.40461099666
14,28,732.6434
67,41,74.51393
4,67,6920.1002199999975
48,29,383.59220000000005
59,14,266.65396
48,8,250.6901
30,47,2988.2838800000013
28,14,322.63669999999996
34,72,2389.17898
67,4,4648.566490000001
26,70,594.71146
50,47,7131.574120000002
14,20,9502.353110000004
59,53,8401.314180000001
14,70,118.90859999999999
50,72,384.9234
47,26,2079.4360600000014
1,53,25486.89233999999
14,53,1800.8254099999997
12,74,18449.187439999976
74,74,434110.01736599935
72,74,7026.872339999996
74,12,15108.359189999992
18,4,1056.3510600000002
72,34,2243.3612000000003
70,26,600.2566300000002
14,59,65.24397
53,59,1894.1653600000004
20,53,19009.81616999999
70,14,236.01588
12,63,26957.15588999999
16,26,2123.1234
53,20,9231.971680000004
70,34,344.23425000000003
40,63,10392.2292
63,63,1101804.2795780136
12,57,1344.8779299999999
8,47,9.49432
71,4,798.2508200000001
53,14,816.5279699999998
53,1,3175.5583
63,12,14080.530949999995
53,72,15803.097770000008
72,50,719.2875399999998
26,47,1387.11752
63,40,5751.6192300000075
47,74,3257.5018800000025
4,18,171.34085
74,71,987.2830600000001
12,20,5577.423529999997
26,17,284.60598000000005
72,53,6644.474190000003
74,72,4734.611040000002
57,12,362.72809
59,40,645.3487500000001
63,4,3013.9000799999985
28,1,23.4848
28,74,142.0958
40,59,123.69152
20,71,18.7595
71,53,7088.696620000002
4,63,3775.8526399999987
40,20,9517.430239999996
14,73,414.83451
53,71,14677.983559999995
50,74,6718.296820000008
8,34,965.8661100000002
73,14,515.6781199999998
